Unnamed: 0.1,Unnamed: 0,Company Name,Location,Datum,Detail,Status Rocket, Rocket,Status Mission,Latitude,Longitude,Cleaned_Datetime,Launch_Date,Launch_Hour,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m,wind_direction_10m,wind_gusts_10m,visibility,cloud_cover,precipitation,dew_point_2m
0,0,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Fri Aug 07, 2020 05:12 UTC",Falcon 9 Block 5 | Starlink V1 L9 & BlackSky,StatusActive,50.0 ,Success,28.608,-80.604,2020-08-07 05:12:00+00:00,2020-08-07,5,25.6,94,1015.5,4.1,195,8.6,,100,0.0,24.6
1,1,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Thu Aug 06, 2020 04:01 UTC",Long March 2D | Gaofen-9 04 & Q-SAT,StatusActive,29.75 ,Success,40.965,100.282,2020-08-06 04:01:00+00:00,2020-08-06,4,32.8,24,891.6,18.5,21,37.1,,0,0.0,9.6
2,2,SpaceX,"Pad A, Boca Chica, Texas, USA","Tue Aug 04, 2020 23:57 UTC",Starship Prototype | 150 Meter Hop,StatusActive,,Success,25.991,-97.157,2020-08-04 23:57:00+00:00,2020-08-04,23,,,,,,,,,,
3,3,Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan","Thu Jul 30, 2020 21:25 UTC",Proton-M/Briz-M | Ekspress-80 & Ekspress-103,StatusActive,65.0 ,Success,45.92,63.342,2020-07-30 21:25:00+00:00,2020-07-30,21,23.3,30,996.7,16.9,38,25.6,,88,0.0,5.0
4,4,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Thu Jul 30, 2020 11:50 UTC",Atlas V 541 | Perseverance,StatusActive,145.0 ,Success,28.583,-80.583,2020-07-30 11:50:00+00:00,2020-07-30,11,26.5,88,1017.8,9.7,176,18.4,,31,0.0,24.4
5,5,CASC,"LC-9, Taiyuan Satellite Launch Center, China","Sat Jul 25, 2020 03:13 UTC","Long March 4B | Ziyuan-3 03, Apocalypse-10 & NJU-HKU 1",StatusActive,64.68 ,Success,38.849,111.608,2020-07-25 03:13:00+00:00,2020-07-25,3,19.8,69,855.1,9.4,176,19.8,,100,0.0,13.9
6,6,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Thu Jul 23, 2020 14:26 UTC",Soyuz 2.1a | Progress MS-15,StatusActive,48.5 ,Success,45.92,63.342,2020-07-23 14:26:00+00:00,2020-07-23,14,32.2,20,991.4,17.8,315,33.1,,19,0.0,6.3
7,7,CASC,"LC-101, Wenchang Satellite Launch Center, China","Thu Jul 23, 2020 04:41 UTC",Long March 5 | Tianwen-1,StatusActive,,Success,19.614,110.951,2020-07-23 04:41:00+00:00,2020-07-23,4,,,,,,,,,,
8,8,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Mon Jul 20, 2020 21:30 UTC",Falcon 9 Block 5 | ANASIS-II,StatusActive,50.0 ,Success,28.562,-80.577,2020-07-20 21:30:00+00:00,2020-07-20,21,29.4,72,1015.4,22.2,110,42.1,,24,0.2,23.8
9,9,JAXA,"LA-Y1, Tanegashima Space Center, Japan","Sun Jul 19, 2020 21:58 UTC",H-IIA 202 | Hope Mars Mission,StatusActive,90.0 ,Success,30.4,130.97,2020-07-19 21:58:00+00:00,2020-07-19,21,27.3,86,1010.2,17.4,207,38.5,,72,0.0,24.8
10,10,Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA","Wed Jul 15, 2020 13:46 UTC",Minotaur IV | NROL-129,StatusActive,46.0 ,Success,37.939,-75.466,2020-07-15 13:46:00+00:00,2020-07-15,13,,,,,,,,,,
11,11,ExPace,"Site 95, Jiuquan Satellite Launch Center, China","Fri Jul 10, 2020 04:17 UTC","Kuaizhou 11 | Jilin-1 02E, CentiSpace-1 S2",StatusActive,28.3 ,Failure,40.965,100.282,2020-07-10 04:17:00+00:00,2020-07-10,4,29.4,18,887.0,17.1,353,35.6,,37,0.0,2.3
12,12,CASC,"LC-3, Xichang Satellite Launch Center, China","Thu Jul 09, 2020 12:11 UTC",Long March 3B/E | Apstar-6D,StatusActive,29.15 ,Success,28.246,102.029,2020-07-09 12:11:00+00:00,2020-07-09,12,20.2,95,811.3,1.8,101,19.8,,100,3.7,19.3
13,13,IAI,"Pad 1, Palmachim Airbase, Israel","Mon Jul 06, 2020 01:00 UTC",Shavit-2 | Ofek-16,StatusActive,,Success,31.884,34.68,2020-07-06 01:00:00+00:00,2020-07-06,1,,,,,,,,,,
14,14,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Sat Jul 04, 2020 23:44 UTC",Long March 2D | Shiyan-6 02,StatusActive,29.75 ,Success,40.965,100.282,2020-07-04 23:44:00+00:00,2020-07-04,23,23.2,21,884.0,12.8,350,18.4,,0,0.0,-0.7
