Location,Latitude,Longitude
"LC-39A, Kennedy Space Center, Florida, USA",28.608,-80.604
"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",40.965,100.282
"Pad A, Boca Chica, Texas, USA",25.991,-97.157
"Site 200/39, Baikonur Cosmodrome, Kazakhstan",45.92,63.342
"SLC-41, Cape Canaveral AFS, Florida, USA",28.583,-80.583
"LC-9, Taiyuan Satellite Launch Center, China",38.849,111.608
"Site 31/6, Baikonur Cosmodrome, Kazakhstan",45.92,63.342
"LC-101, Wenchang Satellite Launch Center, China",19.614,110.951
"SLC-40, Cape Canaveral AFS, Florida, USA",28.562,-80.577
"LA-Y1, Tanegashima Space Center, Japan",30.4,130.97
"LP-0B, Wallops Flight Facility, Virginia, USA",37.939,-75.466
"Site 95, Jiuquan Satellite Launch Center, China",40.965,100.282
"LC-3, Xichang Satellite Launch Center, China",28.246,102.029
"Pad 1, Palmachim Airbase, Israel",31.884,34.68
"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",-41.5000831,172.8344077
"LC-2, Xichang Satellite Launch Center, China",28.246,102.029
"Xichang Satellite Launch Center, China",28.246,102.029
"Cosmic Girl, Mojave Air and Space Port, California, USA",35.059,-118.152
"Site 43/4, Plesetsk Cosmodrome, Russia",62.925,40.578
"LA-Y2, Tanegashima Space Center, Japan",30.4,130.97
"Launch Plateform, Shahrud Missile Test Site",36.425,55.021
"LC-201, Wenchang Satellite Launch Center, China",19.614,110.951
"Site 43/3, Plesetsk Cosmodrome, Russia",62.925,40.578
"ELA-3, Guiana Space Centre, French Guiana, France",5.2123752,-52.7738833
"LP-0A, Wallops Flight Facility, Virginia, USA",37.939,-75.466
"Imam Khomeini Spaceport, Semnan Space Center, Iran",35.234,53.921
"Site 133/3, Plesetsk Cosmodrome, Russia",62.925,40.578
"Site 81/24, Baikonur Cosmodrome, Kazakhstan",45.92,63.342
"ELS, Guiana Space Centre, French Guiana, France",5.2123752,-52.7738833
"Blue Origin Launch Site, West Texas, Texas, USA",26.1717097,-98.1628013
"First Launch Pad, Satish Dhawan Space Centre, India",13.72,80.23
"Taiyuan Satellite Launch Center, China",38.849,111.608
"Second Launch Pad, Satish Dhawan Space Centre, India",13.72,80.23
"LC-16, Taiyuan Satellite Launch Center, China",38.849,111.608
"Vertical Launch Area, Spaceport America, New Mexico",32.2704569,-106.7429668
"Stargazer, Cape Canaveral AFS, Florida, USA",28.396,-80.605
"Site 1/5, Baikonur Cosmodrome, Kazakhstan",45.92,63.342
"SLC-37B, Cape Canaveral AFS, Florida, USA",28.396,-80.605
"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",5.2123752,-52.7738833
"Site 1S, Vostochny Cosmodrome, Russia",51.884,128.334
"SLC-4E, Vandenberg AFB, California, USA",34.632,-120.61
"Tai Rui Barge, Yellow Sea",36.5,121.2
"SLC-6, Vandenberg AFB, California, USA",34.742,-120.572
"Mu Pad, Uchinoura Space Center, Japan",31.251,131.079
"SLC-2W, Vandenberg AFB, California, USA",34.742,-120.572
"SLC-3E, Vandenberg AFB, California, USA",34.742,-120.572
"Uchinoura Space Center, Japan",31.251,131.079
"Site 45/1, Baikonur Cosmodrome, Kazakhstan",45.92,63.342
"SLC-576E, Vandenberg AFB, California, USA",34.742,-120.572
"SLC-46, Cape Canaveral AFS, Florida, USA",28.396,-80.605
"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",40.965,100.282
"Pad 1, Sohae Satellite Launching Station, North Korea",39.66,124.705
"LP-41, Kauai, Pacific Missile Range Facility",22.0259647,-159.7846058
"Site 370/13, Yasny Cosmodrome, Russia",64.6863136,97.7453061
"Site 35/1, Plesetsk Cosmodrome, Russia",62.925,40.578
"Site 175/59, Baikonur Cosmodrome, Kazakhstan",45.92,63.342
"LP Odyssey, Kiritimati Launch Area, Pacific Ocean",-0.703107,-120.9375
"Jiuquan Satellite Launch Center, China",40.965,100.282
"Stargazer, Vandenberg AFB, California, USA",34.742,-120.572
"LC-1, Naro Space Center, South Korea",34.432,127.535
"Stargazer, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA",57.0324848,-135.2721088
"LP-1, Pacific Spaceport Complex, Alaska, USA",57.4429518,-152.3652906
"SLC-17B, Cape Canaveral AFS, Florida, USA",28.396,-80.605
"SLC-8, Vandenberg AFB, California, USA",34.742,-120.572
"Site 16/2, Plesetsk Cosmodrome, Russia",62.925,40.578
"Site 109/95, Baikonur Cosmodrome, Kazakhstan",45.92,63.342
"Site 132/1, Plesetsk Cosmodrome, Russia",62.925,40.578
"LC-39B, Kennedy Space Center, Florida, USA",28.572,-80.648
"SLC-17A, Cape Canaveral AFS, Florida, USA",28.396,-80.605
"Omelek Island, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA",57.0324848,-135.2721088
"Pad 1, Tonghae Satellite Launching Ground, North Korea",40.855,129.666
"Site 32/2, Plesetsk Cosmodrome, Russia",62.925,40.578
"LC-7, Taiyuan Satellite Launch Center, China",38.849,111.608
"Site 90/20, Baikonur Cosmodrome, Kazakhstan",45.92,63.342
"K-84 Submarine, Barents Sea Launch Area, Barents Sea",74.348,37.81
"Svobodny Cosmodrome, Russia",51.796,128.115
"K-496 Submarine, Barents Sea Launch Area, Barents Sea",74.348,37.81
"SLC-36B, Cape Canaveral AFS, Florida, USA",28.396,-80.605
"SLC-36A, Cape Canaveral AFS, Florida, USA",28.396,-80.605
"SLC-4W, Vandenberg AFB, California, USA",34.742,-120.572
"VLS Pad, Alc?›ntara Launch Center, Maranh?œo, Brazil",0.0,0.0
"ELA-2, Guiana Space Centre, French Guiana, France",5.2123752,-52.7738833
"Site 32/1, Plesetsk Cosmodrome, Russia",62.925,40.578
"Site 107/1, Kapustin Yar, Russia",48.575634,45.766895
"Stargazer, Wallops Flight Facility, Virginia, USA",37.939,-75.466
"Site 41/1, Plesetsk Cosmodrome, Russia",62.925,40.578
"K-407 Submarine, Barents Sea Launch Area, Barents Sea",74.348,37.81
"Site 81/23, Baikonur Cosmodrome, Kazakhstan",45.92,63.342
"Stargazer, Base Aerea de Gando, Gran Canaria",27.9580004,-15.6062305
"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",40.965,100.282
"Site 158, Plesetsk Cosmodrome, Russia",62.925,40.578
"SLC-3W, Vandenberg AFB, California, USA",34.742,-120.572
"Site 175/58, Baikonur Cosmodrome, Kazakhstan",45.92,63.342
"NB-52B Carrier, Edwards AFB, California, USA",34.905,-117.884
"SLV LP, Satish Dhawan Space Centre, India",13.72,80.23
"NB-52B Carrier, Cape Canaveral AFS, Florida, USA",28.396,-80.605
"SLC-N, Tanegashima Space Center, Japan",30.4,130.97
"Site 131/29, Baikonur Cosmodrome, Kazakhstan",45.92,63.342
"Site 45/2, Baikonur Cosmodrome, Kazakhstan",45.92,63.342
